Book,Character
Harry Potter and the Chamber of Secrets,3.16 Chapter 16: The Chamber of Secrets
Harry Potter and the Chamber of Secrets,3.17 Chapter 17: The Heir of Slytherin
Harry Potter and the Chamber of Secrets,3.18 Chapter 18: Dobby's Reward
Harry Potter and the Chamber of Secrets,4 List of spells first introduced
Harry Potter and the Chamber of Secrets,5 List of deaths
Harry Potter and the Chamber of Secrets,"6 Editions

6.1 English-language
6.2 Translations (cover based on Bloomsbury's)
6.3 Translations (cover based on Scholastic's)
6.4 Translations (alternative covers)
6.5 Illustrated Editions
6.6 Hogwarts House Edition"
Harry Potter and the Chamber of Secrets,6.1 English-language
Harry Potter and the Chamber of Secrets,6.2 Translations (cover based on Bloomsbury's)
Harry Potter and the Chamber of Secrets,6.3 Translations (cover based on Scholastic's)
Harry Potter and the Chamber of Secrets,6.4 Translations (alternative covers)
Harry Potter and the Chamber of Secrets,6.5 Illustrated Editions
Harry Potter and the Chamber of Secrets,6.6 Hogwarts House Edition
Harry Potter and the Chamber of Secrets,7 Mistakes
Harry Potter and the Chamber of Secrets,8 Behind the scenes
Harry Potter and the Chamber of Secrets,9 Rumours
Harry Potter and the Chamber of Secrets,10 Film adaptation
Harry Potter and the Chamber of Secrets,11 Notes and references
Harry Potter and the Chamber of Secrets,12 See also
Harry Potter and the Chamber of Secrets,"When Harry watches Draco Malfoy and his father in Borgin and Burke's, a cursed Opal Necklace is described. This is the necklace used in Harry Potter and the Half-Blood Prince."
Harry Potter and the Chamber of Secrets,The only book in the series where Sirius Black is not mentioned or appears.
Harry Potter and the Chamber of Secrets,"Nearly Headless Nick was petrified, but as a ghost, he would be unable to drink the Mandrake Potion. It is unknown how Nick was revived. It is possible that, as the same way ghosts taste, they poured the potion through him."
Harry Potter and the Chamber of Secrets,"Book title:
In the Spanish translated edition published by Salamandra, the name is Harry Potter y la Cámara Secreta, which means ""Harry Potter and the Secret Chamber.""
In the book, however, the Chamber of Secrets is translated as Cámara de los Secretos, the correct translation. Something similar happens in the sixth book.
In the German translated edition published by Carlsen, the name is Harry Potter und die Kammer des Schreckens, which means ""Harry Potter and the Chamber of fright."""
Harry Potter and the Chamber of Secrets,"In the Spanish translated edition published by Salamandra, the name is Harry Potter y la Cámara Secreta, which means ""Harry Potter and the Secret Chamber.""
In the book, however, the Chamber of Secrets is translated as Cámara de los Secretos, the correct translation. Something similar happens in the sixth book."
Harry Potter and the Chamber of Secrets,"In the book, however, the Chamber of Secrets is translated as Cámara de los Secretos, the correct translation. Something similar happens in the sixth book."
Harry Potter and the Chamber of Secrets,"In the German translated edition published by Carlsen, the name is Harry Potter und die Kammer des Schreckens, which means ""Harry Potter and the Chamber of fright."""
Harry Potter and the Chamber of Secrets,"This novel establishes the date in which Harry Potter takes place. During Nearly-Headless Nick's party, his cake says that it's his 500th Deathday, and his death took place in 1492. This means that the events of ""Chamber of Secrets"" takes place during the year 1992-1993, meaning that Harry Potter's school years take place during the 1990s."
Harry Potter and the Chamber of Secrets,"The warning written on the wall, ""Her skeleton will lie in the Chamber forever,"" was actually realised. Though originally written in reference to Ginny Weasley, the message can be reinterpreted as being in reference to the Serpent of Slytherin, as the basilisk was in fact a female. Thus her skeleton will lie in the Chamber forever."
Harry Potter and the Chamber of Secrets,"An interesting note is that in some translated versions of the book, the true name of Lord Voldemort is changed to form an anagram that made sense for the scene he makes his name into ""I am Lord Voldemort"". In Spanish, it would be ""SOY LORD VOLDEMORT"", so he is called Tom Sorvolo Ryddle. The other names are:"
Harry Potter and the Chamber of Secrets,"Many fans noted that Dumbledore said that Voldemort was the last remaining ancestor of Salazar Slytherin, instead of descendant. J. K. Rowling said this was a ""deliberate mistake"". This could support the theory that time travel will recur in the series (see ""Rumour"" note for Harry Potter and the Prisoner of Azkaban). This mistake was fixed on further printings, though, so it's more likely to be a mistake that slipped past the editors than an actual hint. Some versions have put it back after Rowling's comment, perhaps overlooking the tongue-in-cheek nature of the term ""deliberate mistake"". This line was left out of the film."
Harry Potter and the Chamber of Secrets,"It was implied in the book that Ginny had sent Harry his singing valentine. Some members of the on-line fandom have questioned this conclusion, suggesting it being a prank by the Weasley Twins or a genuine overture from Moaning Myrtle as other possibilities. Rowling, herself, however, confirmed in an interview that the valentine was sent by Ginny.[1]"
Harry Potter and the Chamber of Secrets,"↑ The Leaky Cauldron and Mugglenet interview Joanne Kathleen Rowling, available via Accio Quote!"
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets (film)
Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets (soundtrack)
